Episode 100/1000 | Avg Score: 4453.96 | Success Rate: 0.00
Episode 200/1000 | Avg Score: 6924.44 | Success Rate: 0.01
Episode 300/1000 | Avg Score: 7827.52 | Success Rate: 0.00
Episode 400/1000 | Avg Score: 10016.48 | Success Rate: 0.00
Episode 500/1000 | Avg Score: 10942.00 | Success Rate: 0.02
Episode 600/1000 | Avg Score: 10776.64 | Success Rate: 0.03
Episode 700/1000 | Avg Score: 10976.56 | Success Rate: 0.03
Episode 800/1000 | Avg Score: 11161.24 | Success Rate: 0.01
Episode 900/1000 | Avg Score: 10686.96 | Success Rate: 0.01
Episode 1000/1000 | Avg Score: 11445.76 | Success Rate: 0.04
Episode 1100/3000 | Avg Score: 12181.92 | Success Rate: 0.03
Episode 1200/3000 | Avg Score: 12033.20 | Success Rate: 0.05
Episode 1300/3000 | Avg Score: 12524.64 | Success Rate: 0.05
Episode 1400/3000 | Avg Score: 12682.52 | Success Rate: 0.08
Episode 1500/3000 | Avg Score: 12769.28 | Success Rate: 0.08
Episode 1600/3000 | Avg Score: 12900.96 | Success Rate: 0.07
Episode 1700/3000 | Avg Score: 12695.96 | Success Rate: 0.04
Episode 1800/3000 | Avg Score: 13584.08 | Success Rate: 0.08
Episode 1900/3000 | Avg Score: 13304.04 | Success Rate: 0.12
Episode 2000/3000 | Avg Score: 13189.84 | Success Rate: 0.08
